Release Date,Transistors (million),Freq (MHz)
2000-06-30,37.0,800.0
2000-07-31,44.0,1133.0
2000-08-31,37.0,1100.0
2000-09-30,37.0,1116.3524590163934
2000-10-31,37.0,1133.25
2000-11-30,42.0,1450.0
2000-12-31,61.11538461538461,1754.6153846153845
2001-01-31,80.23076923076923,2059.230769230769
2001-02-28,59.714471968709255,1706.7483702737939
2001-03-31,37.0,1316.5
2001-04-30,42.0,1700.0
2001-05-31,42.22586520947176,1381.8123861566485
2001-06-30,42.44444444444444,1073.888888888889
2001-07-31,43.333333333333336,1333.1666666666667
2001-08-31,42.0,1755.5555555555557
2001-09-30,42.73770491803279,1597.044626593807
2001-10-31,43.5,1433.25
2001-11-30,37.0,1600.0
2001-12-31,44.0,1366.5
2002-01-31,63.2,1905.6
2002-02-28,55.0,2000.0
2002-03-31,49.0,1677.6666666666667
2002-04-30,55.0,1898.8
2002-05-31,55.0,2463.5
2002-06-30,43.0,1761.1666666666667
2002-07-31,46.66666666666667,2058.5833333333335
2002-08-31,50.333333333333336,2356.0
2002-09-30,55.0,2247.5
2002-10-31,37.0,2183.3333333333335
2002-11-30,57.0,2190.0
2002-12-31,56.0,2295.0
2003-01-31,55.0,2400.0
2003-02-28,63.0,1833.0
2003-03-31,67.57142857142857,1938.0
2003-04-30,85.6,2060.0
2003-05-31,55.0,2600.0
2003-06-30,76.86666666666666,2246.266666666667
2003-07-31,286.0,3066.0
2003-08-31,106.0,1771.4285714285713
2003-09-30,79.8695652173913,2060.1739130434785
2003-10-31,286.0,3200.0
2003-11-30,110.2,2520.0
2003-12-31,66.0,2100.0
2004-01-31,105.0,2200.0
2004-02-29,131.8,2580.0
2004-03-31,115.0,2400.0
2004-04-30,78.84615384615384,2092.3076923076924
2004-05-31,110.80952380952381,1871.4285714285713
2004-06-30,125.7741935483871,2809.6774193548385
2004-07-31,50.0,1693.75
2004-08-31,84.92307692307692,1904.5384615384614
2004-09-30,112.6,2744.8
2004-10-31,108.0,2462.0
2004-11-30,63.0,1800.0
2004-12-31,109.3529411764706,2163.529411764706
2005-01-31,126.08333333333333,2425.5833333333335
2005-02-28,154.3846153846154,3071.769230769231
2005-03-31,151.64705882352942,2231.3529411764707
2005-04-30,82.5,2033.3333333333333
2005-05-31,167.21428571428572,2528.5714285714284
2005-06-30,121.85714285714286,2798.5714285714284
2005-07-31,76.22222222222223,1828.888888888889
2005-08-31,133.6969696969697,2121.212121212121
2005-09-30,233.0,2200.0
2005-10-31,94.33333333333333,2133.3333333333335
2005-11-30,135.66666666666666,2800.0
2005-12-31,209.42857142857142,2614.285714285714
2006-01-31,208.30434782608697,2457.782608695652
2006-02-28,233.0,2200.0
2006-03-31,261.6,2866.0
2006-04-30,139.75,1649.75
2006-05-31,142.425,2168.325
2006-06-30,151.0,1766.5
2006-07-31,295.5,2374.8333333333335
2006-08-31,1197.5555555555557,2911.0
2006-09-30,152.8,2139.8
2006-10-31,228.5,2600.0
2006-11-30,298.0,2853.2
2006-12-31,177.55555555555554,2392.5555555555557
2007-01-31,479.0,2800.0
2007-02-28,170.33333333333334,2400.0
2007-03-31,265.34192037470723,2128.84074941452
2007-04-30,357.2857142857143,1866.4285714285713
2007-05-31,293.0,2133.3333333333335
2007-06-30,125.28571428571429,1457.142857142857
2007-07-31,338.7142857142857,2514.285714285714
2007-08-31,162.0,2766.6666666666665
2007-09-30,264.4,1893.4
2007-10-31,170.63636363636363,2218.181818181818
2007-11-30,573.3333333333334,2500.0
2007-12-31,282.6666666666667,1944.3333333333333
2008-01-31,288.7142857142857,2500.0
2008-02-29,223.5,2026.5
2008-03-31,433.14285714285717,2395.190476190476
2008-04-30,210.5,2128.35
2008-05-31,212.33333333333334,1955.3333333333333
2008-06-30,62.0,1493.4
2008-07-31,450.0,2100.0
2008-08-31,391.7,2539.9
2008-09-30,450.0,2175.0
2008-10-31,377.85714285714283,2442.8571428571427
2008-11-30,497.0,2683.1666666666665
2008-12-31,450.0,2533.3333333333335
2009-01-31,439.0,2546.5
2009-02-28,758.0,2620.0
2009-03-31,603.625,2233.125
2009-04-30,489.8,2603.2
2009-05-31,329.75,2766.75
2009-06-30,651.3333333333334,2566.5833333333335
2009-07-31,453.0,2850.0
2009-08-31,505.0,2899.8
2009-09-30,478.9166666666667,2274.9166666666665
2009-10-31,507.1666666666667,2600.0
2009-11-30,749.0,3233.3333333333335
2009-12-31,236.33333333333334,1844.6666666666667
2010-01-31,431.64,2759.4
2010-02-28,950.5,3066.5
2010-03-31,1087.4285714285713,2501.285714285714
2010-04-30,664.4,3000.0
2010-05-31,486.4,2371.96
2010-06-30,282.75,2072.375
2010-07-31,906.0,2888.6666666666665
2010-08-31,402.0,2844.3333333333335
2010-09-30,356.6060606060606,2348.5151515151515
2010-10-31,681.3333333333334,2944.6666666666665
2010-11-30,72.85714285714286,1285.7142857142858
2010-12-31,620.0,3160.0
2011-01-31,529.0,3400.0
2011-02-28,948.0,2855.3333333333335
2011-03-31,434.6666666666667,1789.0
2011-04-30,1268.2666666666667,2671.733333333333
2011-05-31,638.1666666666666,2875.0
2011-06-30,839.3571428571429,1994.0357142857142
2011-07-31,555.0,1966.6666666666667
2011-08-31,863.3333333333334,2433.3333333333335
2011-09-30,746.8888888888889,2492.5925925925926
2011-10-31,927.4285714285714,2592.8571428571427
2011-11-30,1532.923076923077,2335.923076923077
2011-12-31,999.4666666666667,2084.4666666666667
2012-01-31,1097.3922222222222,2751.242222222222
2012-02-29,1189.0,3375.0
2012-03-31,1302.7733695652173,3187.9891304347825
2012-04-30,1412.8766304347828,3007.0108695652175
2012-05-31,1526.65,2820.0
2012-06-30,653.3333333333334,2733.3333333333335
2012-07-31,504.0,1600.0
2012-08-31,744.6523224043716,1892.2131147540983
2012-09-30,977.5416666666666,2175.0
2012-10-31,1214.1666666666667,3479.1666666666665
2012-11-30,3308.6666666666665,2033.7333333333333
2012-12-31,1200.0,2690.909090909091
2013-01-31,1200.0,3800.0
2013-02-28,410.0,3600.0
2013-03-31,1178.0,2700.0
2013-04-30,1200.0,4050.0
2013-05-31,1178.0,1318.75
2013-06-30,1944.5625,2235.28125
2013-07-31,1556.6666666666667,4033.3333333333335
2013-08-31,1400.0,1700.0
2013-09-30,1414.96875,2610.9375
2013-10-31,1178.0,2500.0
2013-11-30,1287.1803278688524,2372.1311475409834
2013-12-31,1400.0,2240.0
2014-01-31,1311.2,3200.0
2014-02-28,1291.2,2010.0
2014-03-31,5000.0,1238.0
2014-04-30,2300.0,1934.5
2014-05-31,1400.0,3235.714285714286
2014-06-30,1400.0,3350.0
2014-07-31,1400.0,3145.4545454545455
2014-08-31,1654.0983606557377,3266.3437655240937
2014-09-30,1900.0,3383.3333333333335
2014-10-31,1807.8930041152264,3449.2455418381346
2014-11-30,1718.7572016460906,3513.0315500685874
2014-12-31,1626.650205761317,3578.943758573388
2015-01-31,1534.5432098765432,3644.855967078189
2015-02-28,1451.3497942386832,3704.3895747599454
2015-03-31,1359.2427983539096,3770.3017832647465
2015-04-30,1270.1069958847738,3834.087791495199
2015-05-31,1178.0,3900.0
2015-06-30,1400.0,2407.6923076923076
2015-07-31,1400.0,2754.6927257525085
2015-08-31,1400.0,3101.693143812709
2015-09-30,1400.0,3437.5
2015-10-31,1400.0,3700.0
2015-11-30,1301.639344262295,3650.8196721311474
2015-12-31,1200.0,3600.0
2016-01-31,1178.0,4000.0
2016-02-29,1307.900826446281,3731.5702479338843
2016-03-31,1446.7603305785124,3444.628099173554
2016-04-30,1581.1404958677685,3166.9421487603304
2016-05-31,1720.0,2880.0
2016-06-30,8000.0,1375.0
2016-07-31,7637.956204379562,1596.5632603406327
2016-08-31,7275.912408759124,1818.1265206812652
2016-09-30,6925.5474452554745,2032.542579075426
2016-10-31,6563.503649635037,2254.1058394160586
2016-11-30,6213.138686131387,2468.5218978102193
2016-12-31,5851.094890510949,2690.085158150852
2017-01-31,5489.05109489051,2911.6484184914843
2017-02-28,5162.043795620438,3111.770072992701
2017-03-31,4800.0,3333.3333333333335
2017-04-30,4800.0,3340.0
2017-05-31,4800.0,2915.938069216758
2017-06-30,4800.0,2505.5555555555557
2017-07-31,4589.0,3140.909090909091
2017-08-31,7960.0,3580.0
2017-09-30,7969.836065573771,3035.737704918033
2017-10-31,7980.0,2473.3333333333335
2017-11-30,7989.836065573771,1929.0710382513664
2017-12-31,8000.0,1366.6666666666667
2018-01-31,6386.198547215497,2187.3284907183215
2018-02-28,4928.571428571428,2928.5714285714284
2018-03-31,4863.231850117096,3206.2646370023417
2018-04-30,4800.0,3475.0
2018-05-31,2583.3333333333335,3466.6666666666665
2018-06-30,4800.0,3033.3333333333335
2018-07-31,9625.0,3183.3333333333335
2018-08-31,14450.0,3333.3333333333335
2018-09-30,4800.0,3216.6666666666665
2018-10-31,11094.5,3400.0
2018-11-30,4800.0,3100.0
2018-12-31,7261.538461538462,2876.923076923077
2019-01-31,4005.0,2112.5
2019-02-28,4775.0,2214.747191011236
2019-03-31,5627.5,2327.949438202247
2019-04-30,6452.5,2437.5
2019-05-31,5448.748641304348,2871.3315217391305
2019-06-30,4477.376358695652,3291.1684782608695
2019-07-31,3473.625,3725.0
2019-08-31,3800.0,2597.3684210526317
2019-09-30,3800.0,3100.0
2019-10-31,4940.0,2200.0
2019-11-30,4000.0,3600.0
2019-12-31,6657.0,3055.0
2020-01-31,9314.0,2510.0
2020-02-29,3800.0,2900.0
2020-03-31,9800.0,3150.0
2020-04-30,3800.0,3560.0
2020-05-31,3800.0,3584.7101449275365
2020-06-30,3800.0,3608.623188405797
2020-07-31,3800.0,3633.3333333333335
2020-08-31,4810.869565217391,3506.413043478261
2020-09-30,5789.130434782609,3383.586956521739
2020-10-31,6800.0,3256.666666666667
2020-11-30,7778.260869565218,3133.840579710145
2020-12-31,8789.130434782608,3006.9202898550725
2021-01-31,9800.0,2880.0
